sku,product_name,brand
GZ7945,Tênis Masculino NMDR1 - Cinza,adidas
GY5028,Tênis Masculino Outrage - Preto,adidas
GZ7925,Tênis Masculino Nmdr1 Refined - Branco,adidas
EF4400,Tênis Masculino Marathon Tech - Vinho,adidas
Q47100,Tênis Masculino Mixing Eras - Preto,adidas
H04249,Tênis Masculino Ozelia - Preto,adidas
FV1836,Tênis Masculino Yung-1 - Azul,adidas
FW2002,Tênis Masculino Zx 2k 4D - Branco,adidas
H01996,Tênis Masculino Fluidup - Preto,adidas
FY7236,Tênis Masculino Zx 1000 C - Branco,adidas
FW5705,Tênis Masculino Galaxy 5 - Azul,adidas
FV9650,Tênis Masculino Ozweego - Cinza,adidas
H04242,Tênis Masculino Ozweego - Off White,adidas
G58892,Tênis Masculina Pro Next - Preto,adidas
FX9085,TÊNIS MASCULINO RETROSET - BRANCO,adidas
FX9086,TÊNIS MASCULINO RETROSET - PRETO,adidas
H00552,Tênis Masculino X9000 - Azul,adidas
FV2316,Tênis Masculino Zx Journey - Preto,adidas
FY9659,Tênis Masculino Courtrook - Off White,adidas
FY7235,Tênis Masculino New York - Branco,adidas
FV9993,Tênis Masculino Zx 2k Boost - Preto,adidas
FW4817,Tênis Masculino Day Jogger - Verde,adidas
FW4818,Tênis Masculino Day Jogger - Preto,adidas
GZ8514,Tênis Masculino Game Court M - Branco,adidas
FX3764,Tênis Masculino Showtheway M - Cinza,adidas
CM1457,Tênis Masculino Upath Run - Preto,adidas
H68081,Tênis Masculino X9000L1 - Preto,adidas
FV2325,Tênis Masculino Zx Alkyne - Laranja,adidas
EE5404,TÊNIS MASCULINO AR TRAINER - PRETO,adidas
H02176,Tênis Masculino Court Tourino - Preto,adidas
FY9660,Tênis Masculino Courtrook - Off White,adidas
FU7385,TÊNIS MASCULINO DON ISSUE 2 - VERDE,adidas
FW1703,Tênis Masculino Fluidstreet M - Preto,adidas
GZ8191,Tênis Masculino Racer TR 21 - Branco,adidas
FV3893,Tênis Masculino SL 7200 - Cinza,adidas
FU9738,TÊNIS ADIDAS SUPERCOURT ,adidas
FX5532,Tênis Masculino Superstar - Branco,adidas
FY7702,Tênis Masculino Superstar - Branco,adidas
FU9520,Tênis Masculino Superstar - Preto,adidas
GV7671,Tênis Masculino Superstar - Branco,adidas
GZ8738,Tênis Masculino Torsion 2 0 M - Preto,adidas
H00512,Tênis Masculino Ultrabounce - Preto,adidas
FV9999,Tênis Masculino Zx 2k Boost - Preto,adidas
FW0000,Tênis Masculino Zx 2k Boost - Cinza,adidas
FX8836,Tênis Masculino Zx 2k Boost - Azul,adidas
GV7124,Tênis Masculino Duramo Sl M - Preto,adidas
H04622,Tênis Masculino Duramo - Preto,adidas
H04620,Tênis Masculino Duramo SL - Azul,adidas
GZ8515,Tênis Masculino Game Court M - Preto,adidas
FZ2857,Tênis Masculino Kaptir Super - Preto,adidas
GW4832,Tênis Masculino Pureboost 21 - Preto,adidas
FV8534,Tênis Masculino Sc Premiere - Branco,adidas
FX3763,Tênis Masculino Showtheway M - Azul,adidas
GZ5992,Tênis Masculino Stan Smith - Branco,adidas
H02177,Tênis Masculino Court Tourino - Branco,adidas
H04588,Tênis Masculino Fluidflow 2 0 - Branco,adidas
EF4395,Tênis Masculino Marathon Tech - Azul,adidas
EF4399,Tênis Masculino Marathon Tech - Azul,adidas
GZ8183,Tênis Masculino Racer Tr 21 - Vinho,adidas
H00511,Tênis Masculino Ultrabounce - Branco,adidas
FZ2858,Tênis Masculino Kaptir Super - Branco,adidas
FZ2860,Tênis Masculino Kaptir Super - Azul,adidas
FZ0394,Tênis Masculino Lite Racer 2 0 M - Azul,adidas
H00513,Tênis Masculina EQ21 Run Ultra Bounce - Azul,adidas
FY9651,Tênis Masculino Breaknet Plus - Preto,adidas
FY2831,Tênis Masculino Courtjam Bounce - Branco,adidas
FZ1985,Tênis Masculino Fluidflow 2.0 - Preto,adidas
EG9973,TÊNIS MASCULINO PULSEBOOST HD - CINZA,adidas
GZ8224,Tênis Masculino Lite Racer 2.0 - Vinho,adidas
FY9563,Tênis Masculino Questar Flow - Vermelho,adidas
FY5472,Tênis Masculino Supercourt Premium - Branco,adidas
GY0125,Tênis Masculino X9000 L2 Boost M - Preto,adidas
S23678,Tênis Masculino X9000 L3 Boost - Cinza,adidas
S23681,Tênis Masculino X9000 L3 Boost - Preto,adidas
S23651,Tênis Masculino X9000 L2 Boost M - Preto,adidas
FZ1743,Tênis Masculino Climacool Ventania - Azul,adidas
FX6651,Tênis Masculina Supernova Boost - Cinza,adidas
FY0375,Tênis Masculino Ultraboost 21 - Branco,adidas
FZ1744,Tênis Masculino Climacool Ventania - Preto,adidas
GZ9061,Tênis Masculino Continental 80 Stripes - Branco,adidas
EG2925,TÊNIS MASCULINO ENERGYFALCON - VERMELHO,adidas
EG2932,TÊNIS MASCULINO ENERGYFALCON - PRETO,adidas
H04566,Tênis Masculino Response Super Boost 2.0 - Azul,adidas
H04562,Tênis Masculino Response Super Boost 2.0 - Preto,adidas
H04296,Tênis Masculino Lite Racer Adapt 4.0 Slipon - Preto,adidas
H04807,Tênis Masculino Lite Racer Adapt 4.0 Slipon - Azul,adidas
FW2808,TÊNIS MASCULINO ZX 500 - VERDE,adidas
FV9821,TÊNIS MASCULINO SL 7200 - BRANCO,adidas
FW3342,TÊNIS MASCULINO RETROSET - AZUL,adidas
FY5776,Tênis Masculino Ozweego - Preto,adidas
